Species ID;ITIS code;Catalogue of Life;Class;Order;Family;Species
a;a;a;a;a;a;a
R168;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis erhardii
R169;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis filfolensis
R170;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis gaigeae
R171;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis hispanicus
R172;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis lilfordi
R173;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis melisellensis
R174;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis milensis
R175;564582;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis muralis
R176;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis peloponnesiacus
R177;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis pityusensis
R178;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis raffoneae
R179;564588;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis sicula
R180;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis tauricus
R181;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis tiliguerta
R182;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis vaucheri
R183;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis waglerianus
R184;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Psammodromus manuelae
R185;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Psammodromus hispanicus
R186;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Anguidae;Pseudopus apodus
R187;551874;v1.9 rev 2126ab0;Reptilia;Testudines;Trionychidae;Rafetus euphraticus
R188;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia chlorogaster
R189;819330;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola angustimentalis
R190;819331;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola bischoffi
R191;819333;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola boettgeri
R192;819338;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola delalandii
R193;819342;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola gomerensis
R194;683045;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola mauritanica
R195;1082410;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Telescopus fallax
R196;551865;v1.9 rev 2126ab0;Reptilia;Testudines;Testudinidae;Testudo graeca
R197;551866;v1.9 rev 2126ab0;Reptilia;Testudines;Testudinidae;Testudo hermanni
R198;949337;v1.9 rev 2126ab0;Reptilia;Testudines;Emydidae;Emys trinacris
R199;551869;v1.9 rev 2126ab0;Reptilia;Testudines;Testudinidae;Testudo marginata
R200;1056885;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Trapelus agilis
R201;1056893;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Trapelus lessonae
R202;551876;v1.9 rev 2126ab0;Reptilia;Testudines;Trionychidae;Trionyx triunguis
R203;1116234;v1.9 rev 2126ab0;Reptilia;Squamata;Typhlopidae;Xerotyphlops vermicularis
R204;202167;v1.9 rev 2126ab0;Reptilia;Squamata;Varanidae;Varanus griseus
R205;1058453;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Montivipera albizona
R206;634985;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera ammodytes
R207;634986;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera aspis
R208;634988;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera berus
R209;1058554;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Montivipera bulgardaghica
R210;634991;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera darevskii
R211;634992;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera dinniki
R212;634993;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera kaznakovi
R213;634994;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera latastei
R214;1058754;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera berus nikolskii
R215;634999;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera pontica
R216;1058460;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera transcaucasiana
R217;635001;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera seoanei
R218;635002;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera ursinii
R219;1081675;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Dolichophis caspius
R220;715147;v1.9 rev 2126ab0;Reptilia;Squamata;Chamaeleonidae;Chamaeleo africanus
R221;1081683;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Dolichophis jugularis
R222;1081688;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hemorrhois nummifer
R223;1081672;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hemorrhois algirus
R224;1084222;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hierophis viridiflavus carbonarius
R225;1081692;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Dolichophis schmidti
R226;1082516;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Elaphe sauromates
R227;1058459;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera renardi
R228;819301;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Stenodactylus grandiceps
R229;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Acanthodactylus boskianus
R230;1081689;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hemorrhois ravergieri
R231;1081698;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Platyceps ventromaculatus
R232;1082262;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis persicus
R233;1082325;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Rhynchocalamus melanocephalus
R234;1082361;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Spalerosophis diadema
R235;818503;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Eublepharis angramainyu
R236;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Trachylepis septemtaeniata
R237;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Acanthodactylus harranensis
R238;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Acanthodactylus grandis
R239;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias persica
R240;1058455;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera eriwanensis
R241;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Zamenis persicus
R242;634995;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera lotievi
R245;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Mesalina brevirostris
R246;1082413;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Telescopus nigriceps
R247;634982;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Pseudocerastes persicus
R248;1116130;v1.9 rev 2126ab0;Reptilia;Squamata;Typhlopoidea;Letheobia episcopus
R249;1082868;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Muhtarophis barani
R251;1082750;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Macroprotodon mauritanicus
R252;1082496;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis coronelloides
R253;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Psammodromus jeanneae
